Network,Acc.(%),Time(ms),Gain,Thrshld.T,Exit(%)
alexnet(100),76.25,3.766441846,1,-,-
B-alexnet(100),76.59,2.775954127,1.356809829,"{0.0001, 0.0001}","{18.68, 18.92, 62.4}"
B-alexnet(100),76.74,2.610998702,1.442529191,"{0.0001, 0.001}","{18.68, 27.36, 53.96}"
B-alexnet(100),76.78,2.468449831,1.525832852,"{0.0001, 0.005}","{18.68, 34.24, 47.08}"
B-alexnet(100),77.02,2.396755981,1.571474892,"{0.0001, 0.01}","{18.68, 37.59, 43.73}"
B-alexnet(100),77.49,2.200766706,1.711422585,"{0.0001, 0.05}","{18.68, 46.88, 34.44}"
B-alexnet(100),77.4,2.102338791,1.791548471,"{0.0001, 0.1}","{18.68, 52.0, 29.32}"
B-alexnet(100),76.5,1.776565313,2.12006945,"{0.0001, 0.5}","{18.68, 67.5, 13.82}"
B-alexnet(100),75.55,1.591189933,2.367059877,"{0.0001, 0.75}","{18.68, 76.22, 5.1}"
B-alexnet(100),75.36,1.524354124,2.470844397,"{0.0001, 1.0}","{18.68, 79.28, 2.04}"
B-alexnet(100),75.05,1.479908919,2.545049764,"{0.0001, 5.0}","{18.68, 81.32, 0.0}"
B-alexnet(100),75.05,1.489417124,2.528802567,"{0.0001, 10.0}","{18.68, 81.32, 0.0}"
B-alexnet(100),76.61,2.656531477,1.417804336,"{0.001, 0.0001}","{27.67, 13.39, 58.94}"
B-alexnet(100),76.78,2.505472016,1.503286335,"{0.001, 0.001}","{27.67, 20.71, 51.62}"
B-alexnet(100),77.29,2.383995628,1.579886222,"{0.001, 0.005}","{27.67, 26.85, 45.48}"
B-alexnet(100),77.39,2.325763965,1.61944286,"{0.001, 0.01}","{27.67, 29.88, 42.45}"
B-alexnet(100),77.71,2.132639098,1.766094343,"{0.001, 0.05}","{27.67, 38.72, 33.61}"
B-alexnet(100),77.42,2.033412528,1.852276306,"{0.001, 0.1}","{27.67, 43.66, 28.67}"
B-alexnet(100),76.64,1.712596703,2.199257911,"{0.001, 0.5}","{27.67, 58.76, 13.57}"
B-alexnet(100),75.77,1.537748003,2.449323191,"{0.001, 0.75}","{27.67, 67.29, 5.04}"
B-alexnet(100),75.64,1.464083624,2.572559234,"{0.001, 1.0}","{27.67, 70.31, 2.02}"
B-alexnet(100),75.2,1.422560787,2.647649141,"{0.001, 5.0}","{27.67, 72.33, 0.0}"
B-alexnet(100),75.2,1.423154426,2.646544731,"{0.001, 10.0}","{27.67, 72.33, 0.0}"
B-alexnet(100),76.71,2.53389895,1.486421488,"{0.005, 0.0001}","{35.86, 9.53, 54.61}"
B-alexnet(100),77.42,2.388477325,1.576921751,"{0.005, 0.001}","{35.86, 15.65, 48.49}"
B-alexnet(100),77.47,2.274770212,1.655746073,"{0.005, 0.005}","{35.86, 21.12, 43.02}"
B-alexnet(100),77.45,2.219610453,1.696893183,"{0.005, 0.01}","{35.86, 23.82, 40.32}"
B-alexnet(100),77.74,2.056189156,1.831758443,"{0.005, 0.05}","{35.86, 31.92, 32.22}"
B-alexnet(100),77.86,1.957806349,1.923807147,"{0.005, 0.1}","{35.86, 36.56, 27.58}"
B-alexnet(100),77.02,1.64683125,2.287084269,"{0.005, 0.5}","{35.86, 51.08, 13.06}"
B-alexnet(100),76.12,1.471633625,2.559361095,"{0.005, 0.75}","{35.86, 59.21, 4.93}"
B-alexnet(100),75.85,1.415646243,2.660581246,"{0.005, 1.0}","{35.86, 62.17, 1.97}"
B-alexnet(100),75.49,1.374098921,2.741026711,"{0.005, 5.0}","{35.86, 64.14, 0.0}"
B-alexnet(100),75.49,1.368589783,2.752060474,"{0.005, 10.0}","{35.86, 64.14, 0.0}"
B-alexnet(100),76.63,2.441070724,1.54294663,"{0.01, 0.0001}","{40.18, 7.94, 51.88}"
B-alexnet(100),77.72,2.330921125,1.615859844,"{0.01, 0.001}","{40.18, 13.47, 46.35}"
B-alexnet(100),77.36,2.228895211,1.689824549,"{0.01, 0.005}","{40.18, 18.48, 41.34}"
B-alexnet(100),77.67,2.169700432,1.735927131,"{0.01, 0.01}","{40.18, 21.04, 38.78}"
B-alexnet(100),77.79,2.01481781,1.869370931,"{0.01, 0.05}","{40.18, 28.78, 31.04}"
B-alexnet(100),77.69,1.915101123,1.96670651,"{0.01, 0.1}","{40.18, 33.25, 26.57}"
B-alexnet(100),77.04,1.624106741,2.319085163,"{0.01, 0.5}","{40.18, 47.14, 12.68}"
